,country,sdr_name,sdr_level,id,value,country_code,dod_code,dod_country_code,dod_id,dod_level,dod_name,dod_parent_id,dod_x_utm,dod_y_utm,gn_admin1_code,gn_admin2_code,gn_admin3_code,gn_admin4_code,gn_alternatenames,gn_asciiname,gn_country_code,gn_feature_class,gn_feature_name,gn_geonameid,gn_geonameid_parent,gn_latitude,gn_longitude,gn_name,gn_population,level,name,parent_id
0,Guinea,Beyla,ADM2,37,258,GN,GIN008001,GN,37,ADM2,Beyla,8,,,N,1.0,,,"Beyla,Prefecture de Beyla,Préfecture de Beyla,Region Administrative de Beyla,Région Administrative de Beyla",Beyla Prefecture,GN,A,ADM2,2423124,8335091,8.91667,-8.41667,Beyla Prefecture,188045,ADM2,Beyla,8
1,Guinea,Boffa,ADM2,9,446,GN,GIN001001,GN,9,ADM2,Boffa,1,,,B,2.0,,,"Boffa,Prefecture de Boffa,Préfecture de Boffa,Region Administrative de Boffa,Région Administrative de Boffa",Boffa,GN,A,ADM2,2422967,8335085,10.33333,-14.166670000000002,Boffa,165196,ADM2,Boffa,1
2,Guinea,Boke,ADM1,1,216,GN,GIN001,GN,1,ADM1,Boke,0,,,B,,,,"Boke,Boké",Boke Region,GN,A,ADM1,8335085,2420477,11.2,-13.70667,Boke Region,0,ADM1,Boke,2498
3,Guinea,Conakry,ADM1,2,476,GN,GIN002,GN,2,ADM1,Conakry,0,,,04,,,,"Conakry,Conakry I,Conakry II,Region Administrative de Conakry,Région Administrative de Conakry",Conakry Region,GN,A,ADM1,2422464,2420477,9.60703,-13.597,Conakry Region,1871242,ADM1,Conakry,2498
4,Guinea,Coyah,ADM2,23,378,GN,GIN005001,GN,23,ADM2,Coyah,5,,,D,30.0,,,"Coyah,Prefecture de Coyah,Préfecture de Coyah",Coyah,GN,A,ADM2,2595299,8335088,9.75,-13.416670000000002,Coyah,156452,ADM2,Coyah,5
5,Guinea,Dabola,ADM2,14,475,GN,GIN003001,GN,14,ADM2,Dabola,3,,,F,5.0,,,"Dabola,Prefecture de Dabola,Préfecture de Dabola,Region Administrative de Dabola,Région Administrative de Dabola",Dabola,GN,A,ADM2,2422441,8335086,10.6,-11.11667,Dabola,114250,ADM2,Dabola,3
6,Guinea,Dalaba,ADM2,34,318,GN,GIN007001,GN,34,ADM2,Dalaba,7,,,M,6.0,,,"Dalaba,Prefecture de Dalaba,Préfecture de Dalaba,Region Administrative de Dalaba,Région Administrative de Dalaba",Dalaba,GN,A,ADM2,2422377,8335090,10.75,-12.3,Dalaba,154820,ADM2,Dalaba,7
7,Guinea,Dinguiraye,ADM2,15,473,GN,GIN003002,GN,15,ADM2,Dinguiraye,3,,,F,7.0,,,"Dinguiraye,Prefecture de Dinguiraye,Préfecture de Dinguiraye,Region Administrative de Dinguiraye,Région Administrative de Dinguiraye",Dinguiraye Prefecture,GN,A,ADM2,2421902,8335086,11.545,-10.675,Dinguiraye Prefecture,155636,ADM2,Dinguiraye,3
8,Guinea,Dubreka,ADM2,24,430,GN,GIN005002,GN,24,ADM2,Dubreka,5,,,D,31.0,,,"Dubreka,Dubréka,Prefecture de Dubreka,Préfecture de Dubréka,Region Administrative de Dubreka,Région Administrative de Dubréka",Prefecture de Dubreka,GN,A,ADM2,2421533,8335088,10.25,-13.416670000000002,Préfecture de Dubréka,0,ADM2,Dubreka,5
9,Guinea,Faranah,ADM1,3,204,GN,GIN003,GN,3,ADM1,Faranah,0,,,F,,,,Faranah,Faranah Region,GN,A,ADM1,8335086,2420477,10.3375,-10.69583,Faranah Region,0,ADM1,Faranah,2498
10,Guinea,Gueckedou,ADM2,38,482,GN,GIN008002,GN,38,ADM2,Gueckedou,8,,,N,13.0,,,"Gueckedou,Guekedou,Guéckédou,Guékédou,Prefecture de Guekedou,Préfecture de Guékédou,Region Administrative de Gueckedou,Region Administrative de Guekedou,Région Administrative de Guéckédou,Région Administrative de Guékédou",Prefecture de Guekedou,GN,A,ADM2,2420561,8335091,8.66667,-10.25,Préfecture de Guékédou,404691,ADM2,Gueckedou,8
11,Guinea,Kankan,ADM1,4,194,GN,GIN004,GN,4,ADM1,Kankan,0,,,K,,,,Kankan,Kankan Region,GN,A,ADM1,8335087,2420477,10.4,-9.25,Kankan Region,0,ADM1,Kankan,2498
12,Guinea,Kerouane,ADM2,19,383,GN,GIN004002,GN,19,ADM2,Kerouane,4,,,K,15.0,,,"Kerouane,Kérouané,Prefecture de Kerouane,Préfecture de Kérouané,Region Administrative de Kerouane,Région Administrative de Kérouané",Kerouane Prefecture,GN,A,ADM2,2419618,8335087,9.16667,-9.08333,Kerouane Prefecture,124625,ADM2,Kerouane,4
13,Guinea,Kindia,ADM1,5,282,GN,GIN005,GN,5,ADM1,Kindia,0,,,D,,,,Kindia,Kindia Region,GN,A,ADM1,8335088,2420477,10.08667,-13.21333,Kindia Region,0,ADM1,Kindia,2498
14,Guinea,Kissidougou,ADM2,17,476,GN,GIN003004,GN,17,ADM2,Kissidougou,3,,,F,17.0,,,"Kissidougou,Prefecture de Kissidougou,Préfecture de Kissidougou,Region Administrative de Kissidougou,Région Administrative de Kissidougou",Kissidougou,GN,A,ADM2,2419470,8335086,9.25,-9.91667,Kissidougou,213577,ADM2,Kissidougou,3
15,Guinea,Kouroussa,ADM2,20,440,GN,GIN004003,GN,20,ADM2,Kouroussa,4,,,K,19.0,,,"Kouroussa,Prefecture de Kouroussa,Préfecture de Kouroussa,Region Administrative de Kouroussa,Région Administrative de Kouroussa",Kouroussa,GN,A,ADM2,2418435,8335087,10.66667,-9.91667,Kouroussa,159600,ADM2,Kouroussa,4
16,Guinea,Lola,ADM2,39,240,GN,GIN008003,GN,39,ADM2,Lola,8,,,N,36.0,,,"Lola,Prefecture de Lola,Préfecture de Lola",Lola,GN,A,ADM2,2595304,8335091,7.83333,-8.33333,Lola,124393,ADM2,Lola,8
17,Guinea,Macenta,ADM2,40,476,GN,GIN008004,GN,40,ADM2,Macenta,8,,,N,21.0,,,"Macenta,Prefecture de Macenta,Préfecture de Macenta,Region Administrative de Macenta,Région Administrative de Macenta",Macenta,GN,A,ADM2,2417987,8335091,8.5,-9.41667,Macenta,296192,ADM2,Macenta,8
18,Guinea,Mamou,ADM1,7,198,GN,GIN007,GN,7,ADM1,Mamou,0,,,M,,,,"Mamou,Mamou Region",Mamou Region,GN,A,ADM1,8335090,2420477,10.69444,-12.29444,Mamou Region,0,ADM1,Mamou,2498
19,Guinea,Nzerekore,ADM1,8,432,GN,GIN008,GN,8,ADM1,Nzerekore,0,,,N,,,,"Nzerekore,Nzérékoré",Nzerekore Region,GN,A,ADM1,8335091,2420477,8.20833,-9.06944,Nzerekore Region,0,ADM1,Nzerekore,2498
20,Guinea,Pita,ADM2,36,430,GN,GIN007003,GN,36,ADM2,Pita,7,,,M,25.0,,,"Pita,Prefecture de Pita,Préfecture de Pita,Region Administrative de Pita,Région Administrative de Pita",Pita,GN,A,ADM2,2416440,8335090,10.83333,-12.58333,Pita,265689,ADM2,Pita,7
21,Guinea,Siguiri,ADM2,22,430,GN,GIN004005,GN,22,ADM2,Siguiri,4,,,K,39.0,,,"Prefecture de Siguiri,Préfecture de Siguiri,Region Administrative de Siguiri,Région Administrative de Siguiri,Siguiri",Siguiri Prefecture,GN,A,ADM2,2415702,8335087,11.66667,-9.5,Siguiri Prefecture,243888,ADM2,Siguiri,4
22,Guinea,Telimele,ADM2,28,446,GN,GIN005006,GN,28,ADM2,Telimele,5,,,D,27.0,,,"Prefecture de Telimele,Préfecture de Télimélé,Region Administrative de Telimele,Région Administrative de Télimélé,Telimele,Télimélé",Telimele Prefecture,GN,A,ADM2,2414925,8335088,10.91667,-13.333329999999998,Telimele Prefecture,283642,ADM2,Telimele,5
23,Guinea,Yomou,ADM2,42,430,GN,GIN008006,GN,42,ADM2,Yomou,8,,,N,29.0,,,"Prefecture de Yomou,Préfecture de Yomou,Region Administrative de Yomou,Région Administrative de Yomou,Yomou",Yomou,GN,A,ADM2,2414077,8335091,7.5,-9.16667,Yomou,86736,ADM2,Yomou,8
24,Liberia,Bomi,ADM1,5513,363,LR,LBR03,LR,4759,ADM1,Bomi,0,,,15,,,,"Bomi,Bomi County",Bomi County,LR,A,ADM1,2278324,2275384,6.66667,-10.83333,Bomi County,0,ADM1,Bomi,74449
25,Liberia,Bong,ADM1,5514,378,LR,LBR06,LR,4760,ADM1,Bong,0,,,01,,,,"Bong,Bong County",Bong County,LR,A,ADM1,2278292,2275384,7.0,-9.66667,Bong County,0,ADM1,Bong,74449
26,Liberia,Gbarpolu,ADM1,5515,332,LR,LBR45,LR,4761,ADM1,Gbarpolu,0,,,21,,,,"Gbarpolu,Gbarpolu County",Gbarpolu County,LR,A,ADM1,2593119,2275384,7.16667,-10.41667,Gbarpolu County,0,ADM1,Gbarpolu,74449
27,Liberia,Grand Bassa,ADM1,5516,363,LR,LBR09,LR,4762,ADM1,Grand Bassa,0,,,11,,,,"Grand Basa County,Grand Bassa,Grand Bassa County",Grand Bassa County,LR,A,ADM1,2276630,2275384,6.25,-9.75,Grand Bassa County,0,ADM1,Grand Bassa,74449
