,latitude,longitude,market_cen,OBJECTID,geometry
0,6.99,-8.85,Bahn,1,"""{\""type\"":\""Point\"",\""coordinates\"":[-8.8527799997971,6.9852799997722],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
1,7.06,-9.17,Baila,2,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.1677800002468,7.0605599999441],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
2,6.45,-10.61,Bentol,4,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.612500000275,6.4461100002763],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
3,7.01,-11.37,Bo,5,"""{\""type\"":\""Point\"",\""coordinates\"":[-11.372500000375,7.010560000044],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
4,5.88,-10.05,Buchannan,7,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.046669999821,5.8808300000045],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
5,4.99,-7.85,Cavalla,8,"""{\""type\"":\""Point\"",\""coordinates\"":[-7.8461099999765,4.9925000003748],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
6,5.47,-9.58,Cestos City,9,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.5833299997796,5.4666669996823],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
7,6.21,-10.37,Charlesville,10,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.374720000428,6.2061099996768],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
8,6.23,-10.6,Duazohn,11,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.599719999978,6.2277799998471],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
9,5.2,-7.88,Fish Town city,12,"""{\""type\"":\""Point\"",\""coordinates\"":[-7.8766000003897,5.1977999997702],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
