,ADM0_NAME,ADM1_NAME,ADM2_NAME,CITY,COMMENTS,CONF_IMAGE,GLOBALID,IMGNAME,ISO3,NAME,SOURCE,SOURCE2,SOURCE2_DT,SOURCE_DT,SPA_ACC,TYPE,OBJECTID,country_code,sdr_id,sdr_name,sdr_level
0,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,c006b683-bcdf-4a33-abbc-0811899f155e,1.jpeg,LBR,Potters House Revival Ministries,Google,DigitalGlobe,September 2014,September 2014,1,Church,1,LR,5580,Greater Monrovia,ADM2
1,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,eb19b142-479b-4cd2-a3e3-0070439f27d1,3.jpeg,LBR,Faith Healing Temple of Jesus Christ,Google,DigitalGlobe,September 2014,September 2014,1,Church,3,LR,5580,Greater Monrovia,ADM2
2,Liberia,Montserrado,Greater Monrovia,Monrovia,Jehovah hall,Assessed,3f94e3c6-7fc5-4cbb-9886-8c9396bc9d11,4.jpeg,LBR,Kingdom Hall of Jehovahs Witnesses,Google,DigitalGlobe,September 2014,September 2014,1,Church,4,LR,5580,Greater Monrovia,ADM2
3,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,d8b54f9b-3757-4f23-b6b9-1ba6a69e0af5,5.jpeg,LBR,Bahai International,Google,DigitalGlobe,September 2014,September 2014,1,Church,5,LR,5580,Greater Monrovia,ADM2
4,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Reported,6637ca53-68a8-41b5-8481-1e25ffaf22f9,6.jpeg,LBR,Dunamis International,Google,DigitalGlobe,September 2014,September 2014,1,999999,6,LR,5580,Greater Monrovia,ADM2
5,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,7f35cab1-3ff1-4ab1-a772-4ff1832154e7,7.jpeg,LBR,Greated Word,Google,DigitalGlobe,September 2014,September 2014,1,999999,7,LR,5580,Greater Monrovia,ADM2
6,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,efbd23cc-f583-4dc9-b8aa-6f5f51e54c5d,8.jpeg,LBR,Faith Power Healing Ministries,Google,DigitalGlobe,September 2014,September 2014,1,Church,8,LR,5580,Greater Monrovia,ADM2
7,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,b1b439b0-d8ad-4cda-8c97-07061590b89f,9.jpeg,LBR,Bethel Cathedral of Hope,Google,DigitalGlobe,September 2014,September 2014,1,Church,9,LR,5580,Greater Monrovia,ADM2
8,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,64039539-fdf4-4097-955b-38b3804661e4,10.jpeg,LBR,Bethel Cathedral,Google,DigitalGlobe,September 2014,September 2014,1,Church,10,LR,5580,Greater Monrovia,ADM2
9,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,d1627746-9821-403b-991b-bf3a1240f7cd,11.jpeg,LBR,New Destiny Chapel Intl,Google,DigitalGlobe,September 2014,September 2014,1,Church,11,LR,5580,Greater Monrovia,ADM2
