"sdr_id","country_code","country","sdr_level","sdr_name","area_sq_km","guinea_pop","sl_population","lb_population","avg_hh_size","sex_ratio","pupil_teacher_ratio","public_hospital","access_to_health_facility_5k","liberia_access_safe_water_2006","liberia_access_safe_excreta_disposal","num_health_facilities","walk_distance_market","num_HHS","restricted_access_to_market","standardized_2014_pop","pop_density","percent_ee","X","pos","iso_code","year","gdlcode","region","iwi","edyr","edyr_fem","edyr_male","urban","wrk_agr","wrk_lnagr","wrk_unagr","tv","phone","electr","small_house","large_house","qual_floor","bad_floor","tap_water","bad_water","flush_toilet","bad_toilet","age09","age1019","age2029","age3039","age4049","age5059","age6069","age7079","age8089","age90hi","N","Nhh"
1,"GN","Guinea","ADM1","Boke",31186,11750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1081445,34.6772590264862,NA,16,18,"GIN",2012,"GINr101","Boke",36.3,3.4,2.2,4.7,34.2,NA,29.8,6.4,25.3,68.1,21.1,8.5,70.7,4.2,50.4,25.8,29.7,21.6,64.1,31.2,24.5,12.7,8.7,6.9,8.1,4.5,2.5,0.8,0.1,NA,NA
2,"GN","Guinea","ADM1","Conakry",450,11750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1667864,3706.36444444444,NA,17,19,"GIN",2012,"GINr102","Conakry",72.6,7.3,5.7,9,100,NA,73.2,23.1,85.2,97.6,94,12.7,56.8,33,5.1,84.7,0.9,62.5,8.9,25.3,26.4,19.8,11,6.8,5.7,3.5,1.1,0.4,0.1,NA,NA
3,"GN","Guinea","ADM1","Faranah",35581,11750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,942733,26.4954048509036,NA,18,20,"GIN",2012,"GINr103","Faranah",26.3,1.8,0.8,3.1,19.4,NA,27.9,3,9.4,48.5,8.2,7.3,70.3,1.3,61.9,3.2,22.9,4.2,74.9,35.2,25.3,11,9,7.9,5.9,3.9,1.3,0.4,0.1,NA,NA
4,"GN","Guinea","ADM1","Kankan",72145,11750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986329,27.5324554716197,NA,19,21,"GIN",2012,"GINr104","Kankan",31,1.5,0.7,2.4,13.7,NA,20.6,3,15.6,63.1,9.4,6.1,74.3,1.6,66.4,8,19.6,1.9,71.3,36.5,23.8,12,9.4,7,5.6,3.6,1.5,0.5,0.1,NA,NA
5,"GN","Guinea","ADM1","Kindia",28873,11750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1559185,54.0014892806428,NA,20,22,"GIN",2012,"GINr105","Kindia",34.1,2.7,1.7,3.9,23.1,NA,36.8,5,25.6,64.3,24.7,9.9,73.1,7.4,47.3,11.1,46.5,17.5,58,34.2,23.2,12.5,9.6,6.6,6,4.4,2.5,0.7,0.2,NA,NA
5513,"LR","Liberia","ADM1","Bomi",1932,NA,NA,4294000,3,104,33,1,69,25.2,25.2,17,2,84119,0,88544,45.8302277432712,0.316226960607156,50,52,"LBR",2013,"LBRr101","Bomi",22.4,4.8,3,6.7,22.6,NA,44.9,9.4,5.6,55.8,0.4,25.2,43.3,2.7,56.1,0,20.2,3.1,73.2,34.3,23.1,13.1,10.3,7.2,5.9,3.4,1.7,0.7,0.2,NA,NA
5514,"LR","Liberia","ADM1","Bong",8754,NA,NA,4294000,5,97,32,3,48,25.2,25.2,NA,NA,333481,0,352898,40.3127713045465,0.39388151817239,51,53,"LBR",2013,"LBRr102","Bong",19.5,3.3,1.8,4.9,38.9,NA,19.8,4.9,2.4,56.8,0,26.4,42.8,1.2,73.3,0.2,43.6,2.8,78.1,34.9,19.1,12.3,11.8,8.2,6.9,4.1,2.1,0.7,0,NA,NA
5515,"LR","Liberia","ADM1","Gbarpolu",9953,NA,NA,4294000,6,112.7,39,1,32,25.2,25.2,NA,NA,83388,3,92135,9.25700793730534,0.31475552178868,52,54,"LBR",2013,"LBRr103","Gbarpolu",18.2,3.8,2.1,5.5,20.5,NA,33.2,9,1.9,38,2,23.8,47.9,1,79.9,0,40.1,2.7,71.6,35.1,19.5,13.3,12.2,8.5,5,4,1.9,0.4,0,NA,NA
5516,"LR","Liberia","ADM1","Grand Bassa",7814,NA,NA,4294000,5,99,27,1,51,25.2,25.2,NA,NA,221693,0,237204,30.35628359355,0.274025733124231,53,55,"LBR",2013,"LBRr104","Grand Bassa",22.7,3.8,2.2,5.2,35.2,NA,39.6,10.1,10.7,54.2,3.4,35.8,30.6,4.3,61.9,0.5,53.1,10.5,68.6,32.5,20.8,11.9,11.3,9.2,7.8,3.6,1.9,0.6,0.4,NA,NA
5517,"LR","Liberia","ADM1","Grand Cape Mount",4781,NA,NA,4294000,5,107.7,26,1,66,25.2,25.2,NA,NA,127076,5,139015,29.0765530223803,0.381253821530051,54,56,"LBR",2013,"LBRr105","Grand Cape Mount",21.3,3.3,1.6,4.9,6.2,NA,52.8,5.3,3.7,51.1,3.2,13.4,58.4,0.8,68.1,0,36.8,1,80.5,37.8,18.4,12,12.6,8.4,5.4,3.5,1.5,0.3,0.2,NA,NA
